Promoter_1_gene_id	Promoter_1_Type	Cell_line_interaction	Promoter_2_gene_id	Promoter_2_Type		
ADK	hPromoter	K562 & Hela	ADK	hPromoter		
ADM	hPromoter	Hela	SHMT2	EPromoter(K562 & Hela)		
ADM	hPromoter	Hela	SBF2	hPromoter		
ADORA2B	hPromoter	K562	TTC19	hPromoter		
ADORA2B	hPromoter	K562	ZSWIM7	hPromoter		
ADPGK	EPromoter(Hela)	Hela	PIAS3	hPromoter		
ADPGK	EPromoter(Hela)	Hela	TSSC4	hPromoter		
ADPGK	EPromoter(Hela)	Hela	SMOC1	hPromoter		
ADPGK	EPromoter(Hela)	Hela	BBS4	hPromoter		
ADPGK	EPromoter(Hela)	Hela	HNRNPUL1	hPromoter		
ADPRHL2	hPromoter	Hela	37104	hPromoter		
ADRBK1	hPromoter	Hela	ANKRD13D	hPromoter		
ADRM1	hPromoter	Hela	LAMA5	hPromoter		
ADRM1	hPromoter	Hela	CABLES2	hPromoter		
ADRM1	hPromoter	Hela	RPS21	hPromoter		
ADSL	hPromoter	Hela	TNRC6B	hPromoter		
ADSS	hPromoter	Hela	COX19	hPromoter		
ADSS	hPromoter	Hela	DESI2	hPromoter		
ADSS	hPromoter	Hela	HNRNPU	hPromoter		
ADSSL1	hPromoter	Hela	SIVA1	hPromoter		
ADSSL1	hPromoter	Hela	INF2	hPromoter		
AEBP2	hPromoter	Hela	FKBP2	hPromoter		
AEN	hPromoter	Hela	HDGF	hPromoter		
AEN	hPromoter	Hela	ISG20	hPromoter		
AFAP1	hPromoter	Hela	TUBGCP6	hPromoter		
AFF1	hPromoter	Hela	TFAM	hPromoter		
AFF1	hPromoter	K562 & Hela	AFF1	hPromoter		
AFF4	hPromoter	Hela	GDF9	hPromoter		
AFF4	hPromoter	Hela	UQCRQ	hPromoter		
AFF4	hPromoter	Hela	ZCCHC10	hPromoter		
AFF4	hPromoter	Hela	MRPS30	hPromoter		
AFF4	hPromoter	K562 & Hela	HSPA4	hPromoter		
AFG3L2	hPromoter	Hela	CEP76	hPromoter		
AFG3L2	hPromoter	Hela	PSMG2	hPromoter		
AFG3L2	hPromoter	Hela	TUBB6	hPromoter		
AFMID	hPromoter	Hela	CTH	hPromoter		
AFMID	hPromoter	Hela	BIRC5	hPromoter		
AFTPH	hPromoter	Hela	SOCS1	hPromoter		
AGA	hPromoter	Hela	SLC22A7	hPromoter		
AGBL2	hPromoter	Hela	FAAP20	hPromoter		
AGBL2	hPromoter	K562	MTCH2	hPromoter		
AGBL3	hPromoter	K562 & Hela	C7orf49	EPromoter(Hela)		
AGBL5	hPromoter	Hela	OST4	hPromoter		
AGBL5	hPromoter	Hela	KHK	hPromoter		
AGFG1	EPromoter(Hela)	Hela	CCDC18	hPromoter		
AGFG1	EPromoter(Hela)	Hela	TMED5	hPromoter		
AGFG2	hPromoter	Hela	POLR2A	hPromoter		
AGFG2	hPromoter	Hela	ZBTB4	hPromoter		
AGK	hPromoter	Hela	WARS2	hPromoter		
AGL	hPromoter	K562	SLC35A3	hPromoter		
AGL	hPromoter	K562	HIAT1	hPromoter		
AGPAT1	hPromoter	Hela	GPSM3	hPromoter		
AGPAT1	hPromoter	Hela	ATF6B	hPromoter		
AGPAT1	hPromoter	Hela	FKBPL	hPromoter		
AGPAT1	hPromoter	Hela	PPT2	hPromoter		
